id,text,toxicity_label
1,Just had the best coffee ever!,NON_TOXIC
2,Can't believe how rude people are today,NON_TOXIC
3,Beautiful sunset this evening,NON_TOXIC
4,This movie was absolutely terrible,NON_TOXIC
5,Feeling grateful for good friends,NON_TOXIC
6,Why do people have to be so stupid,TOXIC
7,Amazing workout session today,NON_TOXIC
8,Traffic is driving me insane,NON_TOXIC
9,Love this new restaurant,NON_TOXIC
10,Some people are just worthless,TOXIC
11,Perfect weather for a walk,NON_TOXIC
12,This food tastes like garbage,NON_TOXIC
13,So happy about the promotion,NON_TOXIC
14,I hate everyone right now,TOXIC
15,Great book recommendation,NON_TOXIC
16,Customer service is a joke,TOXIC
17,Feeling blessed today,NON_TOXIC
18,People are so annoying,TOXIC
19,Wonderful family dinner,NON_TOXIC
20,This is the worst day ever,NON_TOXIC
21,Excited about the weekend,NON_TOXIC
22,Why is life so unfair,NON_TOXIC
23,Amazing concert last night,NON_TOXIC
24,Some people deserve to die,TOXIC
25,Feeling peaceful and content,NON_TOXIC
26,This place is disgusting,NON_TOXIC
27,So proud of my team,NON_TOXIC
28,I want to hurt someone,TOXIC
29,Lovely morning walk,NON_TOXIC
30,People are so dumb,TOXIC
31,Grateful for good health,NON_TOXIC
32,This makes me sick,TOXIC
33,Feeling motivated today,NON_TOXIC
34,I hate this world,TOXIC
35,Beautiful flowers in bloom,NON_TOXIC
36,Some people are trash,TOXIC
37,Feeling optimistic about tomorrow,NON_TOXIC
38,This is pure garbage,TOXIC
39,So happy with life,NON_TOXIC
40,People are the worst,TOXIC
